"","Accession","ASV","OGT99","nt99","OGT95","nt95","CUBHE","CUB","dCUB","CPB","ConsistencyHE","nHE","nGenes","d20C","OGT","d99","transect","Jesse_aggname","nCAZy","All1","dCUBp","MeanRelAb","MaxRelAb","AllN","PC1","PC1t"
"13","GCA_000170815.1",NA,3.80915,2,3.734765,10,0.611468560196737,NA,-0.115247053349151,-0.434481302585631,0.524098978895345,43,2893,8.17283480361331,3.80915,12.0735234162731,NA,"Flavobacteriales",73,74,0.388707586684953,0.000267552375313625,0.00540875492409153,0.0255789837538887,-0.45580317688975,2.92240619567986
"14","GCA_000171875.1",NA,14.8287130952381,1.65873015873016,14.7726232593222,4.55555555555556,0.611491679110218,NA,-0.153088665965149,-0.471836095396645,0.486162289996297,41,3415,3.70240988753553,14.8287130952381,8.55360441607341,NA,"Flavobacteriales",113,114,0.426549199300951,0.0189535873691713,0.137379796543088,0.0333821376281113,-0.209833463881571,3.16837590868804
"15","GCA_000205985.2",NA,4.40305714285714,1.57142857142857,4.81459333333333,4,0.604380322275379,NA,-0.0805074220282944,-0.413295733030906,0.523154412148421,38,1362,8.97377195345609,4.40305714285714,12.6005802940856,NA,"Thioglobaceae",11,12,0.353967955364096,0.00023982372597651,0.00964152494151861,0.00881057268722467,-1.01078734596993,2.36742202659968
"16","GCA_000224765.2",NA,19.0472519230769,1.73076923076923,19.0400435683761,4.73076923076923,0.640663715107613,NA,-0.147396060263381,-0.362377905398616,0.576713590910997,36,4076,21.7348298447635,19.0472519230769,5.8799806010208,NA,"SAR324_clade",80,81,0.420856593599183,0.000867332169201827,0.0121827225178848,0.0198724239450442,0.298655329857365,3.67686470242697
"17","GCA_000227525.2",NA,18.414216,1.64,18.4811436984127,4.08,0.681442804904377,NA,-0.254154862325099,-0.362426599655361,0.557758943047017,45,2237,9.308802181388,18.414216,4.53580258712256,NA,"Pseudomonadales, excl. SUP05 and SAR86",32,33,0.527615395660901,0.000164680052422037,0.0019245961709781,0.0147518998658918,-0.0949806241958483,3.28322874837376
"18","GCA_000238815.2",NA,23.3452930555556,1.61111111111111,22.7181098622134,3.80555555555556,0.610490077944783,NA,-0.110414932040574,-0.372853285368532,0.531669876384618,42,2336,10.9199189303144,23.3452930555556,6.37242491051049,NA,"Puniceispirillales",48,49,0.383875465376376,0.000434503825511937,0.00821105003950044,0.0209760273972603,-0.655007543087564,2.72320182948204
"19","GCA_000246735.1",NA,18.1989144444444,1.73333333333333,17.9823552698413,5.33333333333333,0.667195101434945,NA,-0.248095577943592,-0.372765971130615,0.49833659379507,37,1721,3.36007318627912,18.1989144444444,5.09681416931965,NA,"Thermoplasmata",13,14,0.521556111279394,0.0051370056917039,0.0578435888606145,0.00813480534572923,-0.24635698697291,3.1318523855967
"20","GCA_000252525.1",NA,16.4014782608696,1.85507246376812,16.2826599511157,6.73913043478261,0.504108190707134,NA,0.0166673115905437,-0.387331215717956,0.495972507193226,40,1288,15.0898698663714,16.4014782608696,19.2770604237114,NA,"SAR86_clade",23,24,0.256793221745258,0.0137695635079835,0.0829636267636001,0.0186335403726708,-1.54704631496512,1.83116305760449
"21","GCA_000263395.1",NA,3.57715,1.5,4.92067,5.5,0.742092912555133,NA,-0.314156131230437,-0.235177458341324,0.518937043495946,49,3976,3.20693679443466,3.57715,4.52563310852516,NA,"Pseudomonadales, excl. SUP05 and SAR86",63,64,0.587616664566239,2.56016729764249e-06,8.47314014573801e-05,0.0160965794768612,0.89857596866345,4.27678534123306
"22","GCA_000299095.1",NA,21.7582038461538,1.84615384615385,21.1544769352869,6.71153846153846,0.487213778287563,NA,0.0410740862926408,-0.388547374138587,0.465392000494456,39,1433,9.37732124833071,21.7582038461538,18.3013542838696,NA,"SAR11_clade",37,38,0.232386447043161,0.0201583968547831,0.124678317424668,0.0265177948360084,-1.69507992136065,1.68312945120896
"23","GCA_000299115.1",NA,20.5343695652174,1.8695652173913,20.229291573499,5.95652173913043,0.549300037997559,NA,-0.0314866523125532,-0.412976972306377,0.520628333022005,38,1493,15.0788505342537,20.5343695652174,11.2611367354973,NA,"Rhodospirillales",35,36,0.304947185648355,0.005287345617342,0.065185609147635,0.0241125251172137,-1.37355396900223,2.00465540356738
"24","GCA_000307935.1",NA,15.3132975806452,1.82258064516129,15.4166692293907,5.83870967741935,0.548561178771226,NA,-0.0554404662174551,-0.38531506415437,0.54056700465225,40,1394,25.4724992492937,15.3132975806452,13.7638272381245,NA,"SAR86_clade",22,23,0.328900999553257,0.00625184074236959,0.031368360352804,0.0164992826398852,-1.21025821929588,2.16795115327373
"25","GCA_000314955.1",NA,10.5997804878049,1.65853658536585,11.0460041947348,5.60975609756098,0.751548014807827,NA,-0.401772344523796,-0.374204530491066,0.552292661801634,50,4438,4.20469493626423,10.5997804878049,3.51483364298237,NA,"Enterobacterales",152,153,0.675232877859598,0.0108920304109594,0.145750323066982,0.0344749887336638,1.11712601629735,4.49533538886696
"26","GCA_000333235.1",NA,14.7476375,1.75,14.5594125,4.5,0.911162611871155,NA,-0.686440724876244,-0.384898722606203,0.5574855280964,51,3504,1.21282129216955,14.7476375,1.13227522052398,NA,"Enterobacterales",66,67,0.959901258212046,7.71819347621608e-05,0.00565475772348585,0.01912100456621,1.93421866031126,5.31242803288087
"27","GCA_000372785.1",NA,10.1796421052632,1.64912280701754,9.86014624129769,4.64912280701754,0.559502140426433,NA,-0.0181505159845969,-0.368797134829395,0.531131793689368,38,1411,18.7765327123525,10.1796421052632,14.8365124501969,NA,"Thioglobaceae",30,31,0.291611049320399,0.0143967269352522,0.0576738548558154,0.0219702338766832,-1.42300647941673,1.95520289315288
"28","GCA_000383115.1",NA,20.273582,1.69,19.8312361575397,4.63,0.526174194604358,NA,-0.0263555134541803,-0.377853824205891,0.500065444541357,36,1769,13.2999150962106,20.273582,13.9816294278624,NA,"Puniceispirillales",23,24,0.299816046789982,0.00828163580935713,0.064831001424652,0.0135669869983041,-1.09019562919422,2.28801374337539
"29","GCA_000383355.1",NA,13.3866469512195,1.4390243902439,13.0738170765583,2.9390243902439,0.562744619684325,NA,-0.0681413748439388,-0.45117238615246,0.480062778140086,28,2320,5.34167301123291,13.3866469512195,13.2013343649617,NA,"Flavobacteriales",70,71,0.341601908179741,0.000940832215545007,0.0162628818811175,0.0306034482758621,-0.968877300988002,2.4093320715816
"30","GCA_000383715.1",NA,20.7693888888889,1.55555555555556,21.123135462963,5,0.59193658614577,NA,-0.103415466712443,-0.347000081905958,0.572139331633852,38,3270,35.8007120932104,20.7693888888889,7.96191153105639,NA,"Verrucomicrobiota",93,94,0.376876000048245,0.000104166493908143,0.00315377446411929,0.0287461773700306,-0.37472412480548,3.00348524776413
"31","GCA_000384935.1",NA,16.2689102941176,1.85294117647059,16.0955208817694,6.79411764705882,0.546573650638645,NA,-0.0535502886608845,-0.386354575950763,0.508567297450923,41,1346,12.6473774175367,16.2689102941176,13.514565841233,NA,"SAR86_clade",28,29,0.327010821996687,0.0136670377198348,0.0829636267636001,0.0215453194650817,-1.32212669838018,2.05608267418943
"32","GCA_000385055.1",NA,16.3336976923077,1.84615384615385,16.1421712301587,6.73846153846154,0.506832554826826,NA,0.0180198648895559,-0.390046554515202,0.48140047320197,39,1349,10.6705807194316,16.3336976923077,18.9212757308741,NA,"SAR86_clade",28,29,0.255440668446246,0.0133276730332764,0.0829552123893246,0.0214974054855448,-1.57064306396427,1.80756630860533
"33","GCA_000402655.1",NA,17.1415765151515,1.6969696969697,17.0214279040404,5.53030303030303,0.530879698787104,NA,-0.0285735041720079,-0.381120049942716,0.514448778230431,42,1013,17.2176616171489,17.1415765151515,15.0344046216962,NA,"SAR406_clade",19,20,0.30203403750781,0.0116769521294741,0.0557383097119317,0.0197433366238894,-1.53421587849778,1.84399349407183
"34","GCA_000402815.1",NA,16.8800586956522,1.71014492753623,16.82660147343,5.66666666666667,0.518959211523274,NA,0.00911086986296337,-0.374382277645812,0.498172578172949,39,1159,13.884308402488,16.8800586956522,16.7697571129828,NA,"SAR406_clade",21,22,0.264349663472839,0.0128162729735597,0.0557383097119317,0.0189818809318378,-1.58606144026131,1.7921479323083
"35","GCA_000405805.1",NA,10.149685515873,1.46428571428571,9.93148327050265,2.82936507936508,0.498868103339412,NA,0.0456288793210829,-0.414638731905562,0.489056417668303,14,1169,12.9539638720395,10.149685515873,25.1844051062069,NA,"SAR406_clade",19,20,0.227831654014719,0.000639212083224091,0.00319291274732403,0.0171086398631309,-1.67852655508426,1.69968281748534
"36","GCA_000416275.1",NA,2.00956666666667,1.33333333333333,2.27959055555556,3.33333333333333,0.796515145808701,NA,-0.415122694729141,-0.400353885977052,0.565898548752661,49,3801,3.44533423446157,2.00956666666667,3.27979434627084,NA,"Pseudomonadales, excl. SUP05 and SAR86",44,45,0.688583228064943,3.34834774994598e-05,0.00105154244970028,0.0118389897395422,1.24122192074191,4.61943129331151
"37","GCA_000416315.1",NA,2.38021666666667,1.33333333333333,2.65024055555556,3.33333333333333,0.855801996395658,NA,-0.559579245781269,-0.401948006259409,0.595693973151983,28,4055,3.47945790574935,2.38021666666667,2.20607335498477,NA,"Pseudomonadales, excl. SUP05 and SAR86",54,55,0.833039779117071,3.33654764907629e-05,0.00105154244970028,0.0135635018495684,1.83650354283568,5.21471291540529
"38","GCA_000419545.1",NA,11.7391072558459,1.74277854195323,11.5139488256807,5.67400275103164,0.504867790317894,NA,0.0194117459948656,-0.382874642076233,0.492980495664329,38,1170,14.1546362567183,11.7391072558459,22.9240756354738,NA,"SAR11_clade",26,27,0.254048787340936,0.0532995213602119,0.125068084355558,0.0230769230769231,-1.68441671378624,1.69379265878337
"39","GCA_000421325.1",NA,20.273582,1.69,19.8312361575397,4.63,0.549813364757797,NA,-0.0713773341850138,-0.36080338794669,0.526900462143619,37,2104,19.3417353126124,20.273582,11.5132916899457,NA,"Puniceispirillales",31,32,0.344837867520816,0.00828163580935713,0.064831001424652,0.0152091254752852,-0.804337123844453,2.57387224872515
"40","GCA_000472185.1",NA,15.9857964788732,1.57746478873239,16.0117281525263,4.23239436619718,0.780973153916346,NA,-0.407122226710146,-0.327801958298216,0.569527982066428,44,3173,4.81773975003167,15.9857964788732,2.47706166177357,NA,"Rhodobacterales",43,44,0.680582760045948,0.0124380090010755,0.0935073696384148,0.0138670028364324,0.888944076005086,4.26715344857469
"41","GCA_000500915.1",NA,9.85673333333333,1.33333333333333,9.24717777777778,1.66666666666667,0.643518339126382,NA,-0.0571360216391303,-0.307153004815651,0.453293887289701,41,3890,2.11355098822436,9.85673333333333,7.57363532551853,NA,"Rhodobacterales",84,85,0.330596554974932,1.03302109420378e-06,7.21828519020182e-05,0.0218508997429306,-0.136209368718757,3.24200000385085
"42","GCA_000504605.1",NA,11.3169848354793,1.71816881258941,11.0690087858316,5.37529804482594,0.500172775176529,NA,0.0347729837888006,-0.415713612937504,0.475341839593376,13,835,9.55731895479793,11.3169848354793,24.1664048366278,NA,"SAR11_clade",28,29,0.238687549547001,0.0498647125202801,0.141342756183746,0.0347305389221557,-2.08511348074149,1.29309589182811
"43","GCA_000511875.1",NA,16.6484020833333,1.72916666666667,16.6991571643519,4.97916666666667,0.659007404778858,NA,-0.199023553282744,-0.370162334789044,0.554066617572748,48,2333,10.661946625117,16.6484020833333,5.62866534856469,NA,"Pseudomonadales, excl. SUP05 and SAR86",33,34,0.472484086618546,0.0125269768382575,0.18000329218107,0.0145735105015002,-0.240691172199025,3.13751820037058
"44","GCA_000513055.1",NA,11.1576847589952,1.72437202987101,10.9382304249507,5.27698574338086,0.515269892326707,NA,0.0047945246686038,-0.403989145309944,0.505117704901043,31,1022,15.7812286140314,11.1576847589952,21.2061252112019,NA,"SAR11_clade",34,35,0.268666008667198,0.0321309708309157,0.0894159944318426,0.0342465753424658,-1.88552514314085,1.49268422942876
"45","GCA_000513075.1",NA,10.9580304960836,1.72375979112272,10.7460491072983,5.30548302872063,0.526709048782015,NA,-0.0120907018161964,-0.402824704665683,0.514424508465141,30,975,17.1756835246729,10.9580304960836,19.3434493001611,NA,"SAR11_clade",26,27,0.285551235151998,0.041965110126809,0.109328127232037,0.0276923076923077,-1.74032412448256,1.63788524808705
"46","GCA_000695745.1",NA,16.6155333333333,1.33333333333333,15.750875,3.33333333333333,0.906372833629036,NA,-0.607007020822218,-0.337446508500124,0.531951017475681,45,5132,0.917361432428699,16.6155333333333,1.119599723944,NA,"Enterobacterales",114,115,0.88046755415802,3.63030586709819e-06,0.000122974759430627,0.0224084177708496,2.35598988916057,5.73419926173018
"47","GCA_000737985.1",NA,6.21255,2,7.36911,4.66666666666667,0.661173097796103,NA,-0.223184279129703,-0.270775041373344,0.509154692002302,48,3898,5.19362289884947,6.21255,7.50225636581428,NA,"Pseudomonadales, excl. SUP05 and SAR86",81,82,0.496644812465505,5.94775501017093e-05,0.00922268715863022,0.0210364289379169,0.462525213811685,3.84073458638129
"48","GCA_000738435.1",NA,7.53435666666667,1.5,7.71061118518519,4.36666666666667,0.66146519722671,NA,-0.188106125988508,-0.31501081669501,0.53115476751218,45,3205,7.2872593310595,7.53435666666667,7.35616606848286,NA,"Rhodobacterales",57,58,0.46156665932431,0.00849139853186777,0.178803785180113,0.0180967238689548,0.0670177036860144,3.44522707625562
"49","GCA_000752995.2",NA,2.8673,1,2.8673,1,0.712728738107299,NA,-0.277393865181042,-0.432414597393225,0.550387378828938,52,2355,5.20043941532446,2.8673,5.71254125969294,NA,"Enterobacterales",52,53,0.550854398516844,1.60837125068557e-07,3.13632393883686e-05,0.0225053078556263,-0.0864755861131348,3.29173378645647
"50","GCA_000755425.1",NA,15.6417,2,13.047725,8,0.889862470279884,NA,-0.577422548009522,-0.343710920188162,0.505597685194145,47,6640,0.697869165309221,15.6417,1.23774823813322,NA,"Enterobacterales",152,153,0.850883081345324,2.60796990683734e-06,0.000122974759430627,0.0230421686746988,2.94044386914238,6.31865324171198
"51","GCA_000761495.1",NA,3.812775,1.5,5.37538333333333,5,0.940805116219833,NA,-0.626405600320257,-0.367379195341434,0.547977602084231,49,3590,0.867399166120336,3.812775,1.25551473407942,NA,"Pseudomonadales, excl. SUP05 and SAR86",43,44,0.899866133656059,0.00190842579481419,0.107293801033671,0.0122562674094708,1.87669834298516,5.25490771555476
"52","GCA_000775715.1",NA,14.50714,1.4,16.420174,3.4,0.846689817908313,NA,-0.523810654838972,-0.357254197695101,0.543366262271784,51,3761,1.66680258579265,14.50714,1.68853572661961,NA,"Enterobacterales",81,82,0.797271188174774,0.000203557788000618,0.00657497295550654,0.021802712044669,1.43948711064347,4.81769648321308
"53","GCA_000783395.1",NA,4.5638,1,4.5638,1,0.835414900831635,NA,-0.482260146888466,-0.300324824474242,0.538531016479713,51,5796,1.84541988328238,4.5638,2.34702384582191,NA,"Pseudomonadales, excl. SUP05 and SAR86",102,103,0.755720680224268,8.94272408789804e-07,0.000174383119714012,0.0177708764665286,2.30288894979159,5.68109832236119
"54","GCA_000830455.1",NA,11.4585,1,11.4585,1,0.818103980719839,NA,-0.397971966428849,-0.348242578249898,0.532820352753761,44,6591,1.78856623530826,11.4585,2.14944710082293,NA,"Enterobacterales",110,111,0.671432499764651,4.92764978207469e-07,9.60891707504564e-05,0.0168411470186618,2.39118676259884,5.76939613516845
"55","GCA_000830475.1",NA,11.4585,1,11.4585,1,0.837389289264234,NA,-0.43480393523226,-0.349256872958551,0.513523688257828,41,6162,1.13612471678064,11.4585,1.90429162536064,NA,"Enterobacterales",111,112,0.708264468568062,4.92764978207469e-07,9.60891707504564e-05,0.0181759169100941,2.29952875492619,5.6777381274958
"56","GCA_000831005.1",NA,8.54539230769231,1.61538461538462,9.14635029304029,6.30769230769231,0.695960689349054,NA,-0.244627707201351,-0.300349810874609,0.554665469665675,47,5437,8.55868463577663,8.54539230769231,5.48520713717276,NA,"Pseudomonadales, excl. SUP05 and SAR86",82,83,0.518088240537153,0.000554341791142545,0.00708708837889574,0.0152657715652014,1.34543868368436,4.72364805625397
"57","GCA_000953695.1",NA,18.3479,2,21.5581,3,0.76805802657366,NA,-0.364160625435386,-0.384393122345987,0.506053186386335,51,4167,1.62973756669748,18.3479,2.42620368817804,NA,"Enterobacterales",92,93,0.637621158771188,2.17220435936167e-05,0.00282683609735085,0.0223182145428366,1.05984791314338,4.43805728571298
"58","GCA_000953735.1",NA,4.11559,2,4.454424,6.8,0.786572816506941,NA,-0.395294826403827,-0.37271254755021,0.520863407640473,49,4576,1.82113677466878,4.11559,3.30097251974517,NA,"Enterobacterales",84,85,0.668755359739629,0.000118210647491518,0.00194577831132453,0.0185751748251748,1.41993136674602,4.79814073931563
"59","GCA_000961845.1",NA,8.59768,1.2,9.50169533333333,2.4,0.569321686215994,NA,-0.0511758347746841,-0.500678134601877,0.495525740773544,39,2497,6.15196304146056,8.59768,14.3617465377285,NA,"Flavobacteriales",61,62,0.324636368110486,4.10065320205015e-05,0.000589714489173732,0.0248297957549059,-0.851332954633939,2.52687641793567
"60","GCA_000967895.1",NA,7.93525555555556,1.33333333333333,6.58872944444444,2.44444444444444,0.72093733042484,NA,-0.271175123901075,-0.380235976140816,0.533474786341333,48,3959,3.88124002967622,7.93525555555556,4.6788393786208,NA,"Pseudomonadales, excl. SUP05 and SAR86",59,60,0.544635657236877,6.15975997260572e-06,0.000258125728158726,0.015155342258146,0.755633291734711,4.13384266430432
"61","GCA_000981705.1",NA,6.83650769230769,1.61538461538462,7.1812397008547,5.76923076923077,0.611885001753634,NA,-0.11397854031325,-0.309761121042184,0.543100231197485,40,2590,15.7236354185194,6.83650769230769,11.0653007143448,NA,"Rhodobacterales",23,24,0.387439073649052,0.0108037405749531,0.179144464620605,0.00926640926640927,-0.332233236777494,3.04597613579211
"62","GCA_001013295.1",NA,4.7577,1,4.7577,1,0.867309419629304,NA,-0.561714245052488,-0.437888523998253,0.493683233314014,40,5383,0.605424518732146,4.7577,1.90802358554536,NA,"Flavobacteriales",113,114,0.83517477838829,1.42649852243283e-07,2.78167211874401e-05,0.0211777819060004,2.33384858397826,5.71205795654786
"63","GCA_001023535.1",NA,2.071775,1.5,2.27848333333333,2,0.943598390622814,NA,-0.710732576108499,-0.244048145453251,0.539499118381965,49,5521,0.896689699265534,2.071775,1.30085931567897,NA,"Pseudomonadales, excl. SUP05 and SAR86",90,91,0.984193109444301,2.38260320937736e-06,0.000237242563575359,0.0164825212823764,2.99699143308563,6.37520080565524
"64","GCA_001179885.1",NA,18.9444895522388,1.74626865671642,18.6206034186212,5.61194029850746,0.501835133484574,NA,0.0126311087915872,-0.388385201084413,0.494522017737332,28,738,14.9452746041199,18.9444895522388,17.7029774021082,NA,"SAR11_clade",13,14,0.260829424544215,0.0424803749237533,0.191174919778846,0.018970189701897,-1.79320752622312,1.58500184634649
"65","GCA_001321855.1",NA,12.8496498141264,1.75712515489467,12.6190902615507,5.86617100371747,0.519592957000336,NA,-0.0174332843284596,-0.41839143259555,0.500077611747739,26,714,13.0898085190981,12.8496498141264,19.4279297333758,NA,"SAR11_clade",17,18,0.290893817664262,0.0400114480425653,0.115283167717207,0.0252100840336134,-1.80166999200851,1.5765393805611
"66","GCA_001403755.1",NA,4.7577,1,4.7577,1,0.707801536471455,NA,-0.29282782547296,-0.43334125390613,0.509863596702219,42,2384,2.61638701722994,4.7577,5.56509604966376,NA,"Flavobacteriales",61,62,0.566288358808762,1.42649852243283e-07,2.78167211874401e-05,0.026006711409396,-0.0765837300218154,3.30162564254779
"67","GCA_001438145.1",NA,13.7717392405063,1.65822784810127,13.9023378481013,4.68354430379747,0.677581009214697,NA,-0.236152681082083,-0.380476468913612,0.543116580646087,45,2333,6.95382682132358,13.7717392405063,5.3724679861751,NA,"Pseudomonadales, excl. SUP05 and SAR86",24,25,0.509613214417885,0.00596608498155104,0.0324015769588787,0.0107158165452207,-0.0471720157067257,3.33103735686288
"68","GCA_001438205.1",NA,7.51251666666667,1.33333333333333,5.81094666666667,4,0.652080163609251,NA,-0.21664220449471,-0.340729673491458,0.539997984149749,41,1568,9.0781950511481,7.51251666666667,7.75076282726738,NA,"Flavobacteriales",42,43,0.490102737830512,0.000242239043646999,0.00489495825852195,0.0274234693877551,-0.744724817344696,2.63348455522491
"69","GCA_001438605.1",NA,16.8359927083333,1.75,16.8867477893519,5,0.668346377501268,NA,-0.201165975752053,-0.360399806548495,0.552736331208789,48,2326,9.62034058390527,16.8359927083333,5.21036200835206,NA,"Pseudomonadales, excl. SUP05 and SAR86",23,24,0.474626509087855,0.0125276487873569,0.18000329218107,0.0103181427343078,-0.166422761443979,3.21178661112563
"70","GCA_001469005.2",NA,12.6250459459459,1.62162162162162,12.6014079429429,3.83783783783784,0.556388437285656,NA,-0.0179064562232443,-0.38720267341802,0.55460505365754,38,3436,32.4078406633117,12.6250459459459,13.9524576631014,NA,"SAR324_clade",45,46,0.291366989559046,0.0022695365958794,0.0175025980418969,0.0133876600698487,-0.344683791118861,3.03352558145075
"71","GCA_001534745.1",NA,6.654075,2,9.807833125,6.75,0.793277400991766,NA,-0.455357332384004,-0.225458703093602,0.512729474793909,49,4036,1.91370383984751,6.654075,2.9336363600023,NA,"Pseudomonadales, excl. SUP05 and SAR86",67,68,0.728817865719806,0.000416809349588198,0.0124631466094881,0.0168483647175421,1.40859638243502,4.78680575500463
"72","GCA_001562115.1",NA,11.7516032786885,1.60655737704918,12.3330194041114,5.13114754098361,0.750873159311396,NA,-0.389032701695487,-0.384872428242916,0.529121551469133,49,4180,2.74951375207527,11.7516032786885,3.40913764662548,NA,"Enterobacterales",116,117,0.662493235031289,0.0173860376450534,0.303361824651118,0.0279904306220096,1.05967543193236,4.43788480450197
"73","GCA_001628005.1",NA,14.4440128,1.7,14.2880285207937,4.9,0.559221878817457,NA,-0.0633805415957406,-0.368731246853927,0.520355814233249,37,1692,14.8179123062364,14.4440128,12.8395969577842,NA,"SAR86_clade",17,18,0.336841074931543,0.00792153269984781,0.0310558004948939,0.0106382978723404,-0.947990973654941,2.43021839891467
"74","GCA_001628405.1",NA,13.5263863636364,1.80519480519481,13.7774790177283,5.42857142857143,0.54817162727748,NA,-0.0318125164840708,-0.380486524949223,0.530253397155828,43,1614,20.34972338211,13.5263863636364,14.6404183004726,NA,"HOC36",24,25,0.305273049819873,0.00649237639818757,0.0309963959614792,0.0154894671623296,-1.17450452215785,2.20370485041176
"75","GCA_001628485.1",NA,13.8443852631579,1.8,13.8056369640769,6.66315789473684,0.628744142098182,NA,-0.139495208934135,-0.326091176525796,0.585130449546154,42,1178,33.2343802626317,13.8443852631579,7.62997126688908,NA,"Thermoplasmata",7,8,0.412955742269937,0.0294750538894423,0.109410424038865,0.0067911714770798,-0.856173603321808,2.5220357692478
"76","GCA_001629235.1",NA,13.8443852631579,1.8,13.8056369640769,6.66315789473684,0.630859393215677,NA,-0.145440923868544,-0.329893634057069,0.561099470977727,29,1076,18.2655698887863,13.8443852631579,7.50823910312831,NA,"Thermoplasmata",5,6,0.418901457204346,0.0294750538894423,0.109410424038865,0.00557620817843866,-0.862605900507378,2.51560347206223
